ATVI,65.79,76.36
ADBE,221.9,248.19
ALXN,121.37,158.6
ALGN,257.9,290.77
GOOG,1030.05,1330
AMZN,1572.62,1675.2
AAL,43.4,63.83
AMGN,177.46,195.14
ADI,87.68,103.14
AAPL,162.32,192.94
AMAT,49.4,70.24
ASML,191.75,196.93
ADSK,126.64,148.05
ADP,119.88,125.02
BIDU,251.93,270.11
BIIB,276.8,371.82
BMRN,84.31,114.3
BKNG,2141.72,2254.91
AVGO,232.78,321.5
CA,34.88,35.1
CDNS,39.96,42
CELG,91.18,115.3
CERN,59.43,70.1
CHTR,263.325,424.08
CHKP,95.73,110.65
CTAS,173.31,177.5
CSCO,44.71,48.85
CTXS,103.27,92.59
CTSH,81.62,90.15
CMCSA,31.81,46.52
COST,196.58,209.46
CSX,60.28,65.57
CTRP,40.63,52.2
XRAY,50.34,68.07
DISH,34.74,64.22
DLTR,97.36,111.6
EBAY,38.23,49.54
EA,117.47,137.5
EXPE,115.07,133.2
ESRX,77.21,87.76
FB,173.59,216.06
FAST,51.02,55.85
FISV,71.47,73.73
GILD,73.86,89.05
HAS,87.36,99.93
HSIC,76.8,77.82
HOLX,39.36,47.41
IDXX,197.19,200.86
ILMN,244.45,259.31
INCY,62.96,82.31
INTC,52.73,54.22
INTU,186.59,176.29
ISRG,447.03,477
JBHT,118.52,131
JD,36.76,51.45
KLAC,102.18,132.15
LRCX,187.26,266.55
LBTYA,30.51,41.85
MAR,137.42,146.85
MXIM,54.49,61.18
MELI,341.17,375.89
MCHP,84.66,111.56
MU,47.52,72.72
MSFT,95.82,105.74
MDLZ,39.93,50.54
MNST,56.19,67.88
MYL,39.34,49.86
NTES,253.93,342.08
NFLX,311.76,326.78
NVDA,226.33,249.58
ORLY,263.29,286.95
PCAR,64.41,77.15
PAYX,61.58,63.38
PYPL,74.13,85.47
QCOM,51.11,66.59
QRTEA,23.31,32.5
REGN,313.05,417.73
ROST,81.68,88.25
STX,59.52,55.3
SHPG,161.66,197.42
SIRI,6.3,6.3
SWKS,87.08,115.67
SBUX,58.36,63.85
SYMC,27.8,29.94
SNPS,85.19,104.86
TMUS,64.52,73.42
TTWO,98.63,130.35
TSLA,294.075,317.04
TXN,102.51,119.26
KHC,57.66,73.82
FOX,35.99,45
ULTA,248.81,250.3
VRSK,107.12,110.13
VRTX,156.05,192.91
VOD,29.51,36.52
WBA,67.11,81.88
WDC,80.88,117.54
WDAY,124.24,128.4
WYNN,185.11,204.69
XLNX,64.76,76.25